파일 이름,날짜/시간,첨부 파일
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 1450.eml,Wed Aug  9 05:50:21 2017,300234065221790_000028.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 1520.eml,Wed Aug  9 06:20:33 2017,300234065221790_000029.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 1551.eml,Wed Aug  9 06:50:58 2017,300234065221790_000030.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 1621.eml,Wed Aug  9 07:21:05 2017,300234065221790_000031.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 1651.eml,Wed Aug  9 07:51:16 2017,300234065221790_000032.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 1721.eml,Wed Aug  9 08:21:24 2017,300234065221790_000033.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 1751.eml,Wed Aug  9 08:51:37 2017,300234065221790_000034.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 1852.eml,Wed Aug  9 09:52:07 2017,300234065221790_000035.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 1922.eml,Wed Aug  9 10:22:27 2017,300234065221790_000036.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 1952.eml,Wed Aug  9 10:52:34 2017,300234065221790_000037.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 2022.eml,Wed Aug  9 11:22:31 2017,300234065221790_000038.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 2052.eml,Wed Aug  9 11:52:38 2017,300234065221790_000039.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 2122.eml,Wed Aug  9 12:22:42 2017,300234065221790_000040.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 2152.eml,Wed Aug  9 12:52:49 2017,300234065221790_000041.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 2223.eml,Wed Aug  9 13:23:00 2017,300234065221790_000042.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 2253.eml,Wed Aug  9 13:53:07 2017,300234065221790_000043.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-09 2323.eml,Wed Aug  9 14:23:20 2017,300234065221790_000044.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-10 0054.eml,Wed Aug  9 15:53:59 2017,300234065221790_000045.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-10 0124.eml,Wed Aug  9 16:24:18 2017,300234065221790_000046.sbd
SBD Msg From Unit  300234065221790 - (sbdservice@sbd.iridium.com) - 2017-08-10 0154.eml,Wed Aug  9 16:54:12 2017,300234065221790_000047.sbd
